Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
6;1;2;013;15;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #5"
6;1;2;013;15;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #6"
6;1;2;013;15;05;"Sub cuentas de sub cuenta Aux";"Comayagua 7"
6;1;2;013;15;06;"Sub cuentas de sub cuenta Aux";"ALL IN ONE - CHOLUTECA"
6;1;2;013;15;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS SIGUATEPEQUE #1"
6;1;2;013;15;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN LORENZO"
6;1;2;013;15;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA ESPERANZA #1"
6;1;2;013;15;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA"
6;1;2;013;15;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA BARBARA"
6;1;2;013;15;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TALANGA"
6;1;2;013;15;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - AZACUALPA SANTA BARBARA"
6;1;2;013;15;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LAS VEGAS SANTA BARBARA"
6;1;2;013;15;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #2"
6;1;2;013;15;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ESPERANZA #2"
6;1;2;013;15;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 2"
6;1;2;013;15;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 3"
6;1;2;013;15;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA COPAN #2"
6;1;2;013;15;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TAULABE"
6;1;2;013;15;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - JESUS DE OTORO"
6;1;2;013;15;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SAN MARCOS"
6;1;2;013;15;23;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #3"
6;1;2;013;15;24;"Sub cuentas de sub cuenta Aux";"KM MOTO - QUIMISTAN"
6;1;2;013;16;00;"Sub cuentas del Aux";"Envios KM CARS"
6;1;2;013;16;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COMAYAGUA #3"
6;1;2;013;16;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #1"
6;1;2;013;16;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA LIBERTAD"
6;1;2;013;16;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS - ENTRADA COPAN"
6;1;2;013;16;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS GRACIAS LEMPIRA"
6;1;2;013;16;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA #1"
6;1;2;013;16;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS DANLI"
6;1;2;013;16;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PARAISO"
6;1;2;013;16;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS PUERTO CORTES"
6;1;2;013;16;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS CHOLOMA"
6;1;2;013;16;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - VILLANUEVA"
6;1;2;013;16;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA CEIBA"
6;1;2;013;16;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA 2"
6;1;2;013;16;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ENTRADA #2"
6;1;2;013;16;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - YORO, YORO"
6;1;2;013;16;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MORAZAN YORO"
6;1;2;013;16;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA CRUZ DE YOJOA"
6;1;2;013;16;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #2"
6;1;2;013;16;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TROJES"
6;1;2;013;16;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN JUAN"
6;1;2;013;16;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - DANLI 2"
6;1;2;013;16;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LEPAERA"
6;1;2;014;00;00;Auxiliar;"Gastos Menores"
6;1;2;014;14;00;"Sub cuentas del Aux";"Gastos Menores KM motos"
6;1;2;014;14;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA"
6;1;2;014;14;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGÜELA"
6;1;2;014;14;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA"
6;1;2;014;14;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS - OLANCHO"
6;1;2;014;14;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS 2"
6;1;2;014;14;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA PAZ"
6;1;2;014;14;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS GUALACO"
6;1;2;014;14;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS CULMI"
6;1;2;014;14;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS #1"
6;1;2;014;14;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS 2"
6;1;2;014;14;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTIAPA"
6;1;2;014;14;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TOROCAGUA"
6;1;2;014;14;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS TELA"
6;1;2;014;14;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PROGRESO"
6;1;2;014;14;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS TOCOA"
6;1;2;014;14;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS PEÑA BLANCA"
6;1;2;014;14;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS SABA"
6;1;2;014;14;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COUNTRY TEGUS"
6;1;2;014;14;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - EL PROGRESO 2"
6;1;2;014;14;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SPS 3"
6;1;2;014;14;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA 2"
6;1;2;014;14;22;"Sub cuentas de sub cuenta Aux";SAC
6;1;2;014;15;00;"Sub cuentas del Aux";"Gastos Menores MOTOREPUESTOS TODO EN UNO"
6;1;2;014;15;01;"Sub cuentas de sub cuenta Aux";"COMAYAGUA 2 - ALL IN ONE"
6;1;2;014;15;02;"Sub cuentas de sub cuenta Aux";"KM COMAYAGUA 4 - ALL IN ONE"
6;1;2;014;15;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #5"
6;1;2;014;15;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #6"
6;1;2;014;15;05;"Sub cuentas de sub cuenta Aux";"Comayagua 7"
6;1;2;014;15;06;"Sub cuentas de sub cuenta Aux";"ALL IN ONE - CHOLUTECA"
6;1;2;014;15;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS SIGUATEPEQUE #1"
6;1;2;014;15;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN LORENZO"
6;1;2;014;15;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA ESPERANZA #1"
6;1;2;014;15;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA"
6;1;2;014;15;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA BARBARA"
6;1;2;014;15;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TALANGA"
6;1;2;014;15;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - AZACUALPA SANTA BARBARA"
6;1;2;014;15;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LAS VEGAS SANTA BARBARA"
6;1;2;014;15;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #2"
6;1;2;014;15;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ESPERANZA #2"
6;1;2;014;15;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 2"
6;1;2;014;15;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 3"
6;1;2;014;15;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA COPAN #2"
6;1;2;014;15;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TAULABE"
6;1;2;014;15;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - JESUS DE OTORO"
6;1;2;014;15;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SAN MARCOS"
6;1;2;014;15;23;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #3"
6;1;2;014;15;24;"Sub cuentas de sub cuenta Aux";"KM MOTO - QUIMISTAN"
6;1;2;014;16;00;"Sub cuentas del Aux";"Gastos Menores KM CARS"
6;1;2;014;16;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COMAYAGUA #3"
6;1;2;014;16;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #1"
6;1;2;014;16;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA LIBERTAD"
6;1;2;014;16;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS - ENTRADA COPAN"
6;1;2;014;16;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS GRACIAS LEMPIRA"
6;1;2;014;16;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA #1"
6;1;2;014;16;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS DANLI"
6;1;2;014;16;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PARAISO"
6;1;2;014;16;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS PUERTO CORTES"
6;1;2;014;16;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS CHOLOMA"
6;1;2;014;16;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - VILLANUEVA"
6;1;2;014;16;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA CEIBA"
6;1;2;014;16;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA 2"
6;1;2;014;16;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ENTRADA #2"
6;1;2;014;16;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - YORO, YORO"
6;1;2;014;16;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MORAZAN YORO"
6;1;2;014;16;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA CRUZ DE YOJOA"
6;1;2;014;16;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #2"
6;1;2;014;16;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TROJES"
6;1;2;014;16;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN JUAN"
6;1;2;014;16;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - DANLI 2"
6;1;2;014;16;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LEPAERA"
6;1;2;015;00;00;Auxiliar;"Mantenimiento preventivo Vehiculo"
6;1;2;016;00;00;Auxiliar;"Gastos de Viaje"
6;1;2;017;00;00;Auxiliar;"Consumo de papeleria"
6;1;2;018;00;00;Auxiliar;"Seguro de mercaderia"
6;1;2;019;00;00;Auxiliar;"Gasto por entrega de mercaderia a Cliente"
6;1;2;020;00;00;Auxiliar;"Impuesto sobre volumen de Ventas"
6;1;2;021;00;00;Auxiliar;"Depreciacion Equipo de Reparto"
6;1;2;022;00;00;Auxiliar;"Depreciacion Mobiliario y equipo"
6;1;2;023;00;00;Auxiliar;"Equipo menor"
6;1;2;024;00;00;Auxiliar;"Gastos Varios"
6;1;3;000;00;00;"Cuenta Mayor";"Gastos de Administracion"
6;1;3;001;00;00;Auxiliar;"Gastos de Administracion KM motos"
6;1;3;001;01;00;"Sub cuentas del Aux";"Gastos de Administracion  Sueldos de Empleados"
6;1;3;001;02;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 13avo"
6;1;3;001;03;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 14avo"
6;1;3;001;04;00;"Sub cuentas del Aux";"Gastos de Administracion  Seguro Social"
6;1;3;001;05;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Tercer"
6;1;3;001;06;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Cuarto"
6;1;3;001;07;00;"Sub cuentas del Aux";"Gastos de Administracion  Alquiler del Local Oficinas"
6;1;3;001;08;00;"Sub cuentas del Aux";"Gastos de Administracion  Energia electrica"
6;1;3;001;09;00;"Sub cuentas del Aux";"Gastos de Administracion  Agua"
6;1;3;001;10;00;"Sub cuentas del Aux";"Gastos de Administracion  Plan de Telefono"
6;1;3;001;11;00;"Sub cuentas del Aux";"Gastos de Administracion  Combustibles y Lubricantes"
6;1;3;001;12;00;"Sub cuentas del Aux";"Gastos de Administracion  Reparacion de Mobiliario y equipo"
6;1;3;001;13;00;"Sub cuentas del Aux";"Gastos de Administracion  Consumo de Papeleria"
6;1;3;001;14;00;"Sub cuentas del Aux";"Gastos de Administracion  Mantenimiento de Moviliario y Equipo "
6;1;3;002;00;00;Auxiliar;"Gastos de Administracion MOTOREPUESTOS TODO EN UNO"
6;1;3;002;01;00;"Sub cuentas del Aux";"Gastos de Administracion  Sueldos de Empleados"
6;1;3;002;02;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 13avo"
6;1;3;002;03;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 14avo"
6;1;3;002;04;00;"Sub cuentas del Aux";"Gastos de Administracion  Seguro Social"
6;1;3;002;05;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Tercer"
6;1;3;002;06;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Cuarto"
6;1;3;002;07;00;"Sub cuentas del Aux";"Gastos de Administracion  Alquiler del Local Oficinas"
6;1;3;002;08;00;"Sub cuentas del Aux";"Gastos de Administracion  Energia electrica"
6;1;3;002;09;00;"Sub cuentas del Aux";"Gastos de Administracion  Agua"
6;1;3;002;10;00;"Sub cuentas del Aux";"Gastos de Administracion  Plan de Telefono"
6;1;3;002;11;00;"Sub cuentas del Aux";"Gastos de Administracion  Combustibles y Lubricantes"
6;1;3;002;12;00;"Sub cuentas del Aux";"Gastos de Administracion  Reparacion de Mobiliario y equipo"
6;1;3;002;13;00;"Sub cuentas del Aux";"Gastos de Administracion  Consumo de Papeleria"
6;1;3;002;14;00;"Sub cuentas del Aux";"Gastos de Administracion  Mantenimiento de Moviliario y Equipo "
6;1;3;003;00;00;Auxiliar;"Gastos de Administracion KM CARS"
6;1;3;003;01;00;"Sub cuentas del Aux";"Gastos de Administracion  Sueldos de Empleados"
6;1;3;003;02;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 13avo"
6;1;3;003;03;00;"Sub cuentas del Aux";"Gastos de Administracion  Provisionamiento 14avo"
6;1;3;003;04;00;"Sub cuentas del Aux";"Gastos de Administracion  Seguro Social"
6;1;3;003;05;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Tercer"
6;1;3;003;06;00;"Sub cuentas del Aux";"Gastos de Administracion  Decimo Cuarto"
6;1;3;003;07;00;"Sub cuentas del Aux";"Gastos de Administracion  Alquiler del Local Oficinas"
6;1;3;003;08;00;"Sub cuentas del Aux";"Gastos de Administracion  Energia electrica"
6;1;3;003;09;00;"Sub cuentas del Aux";"Gastos de Administracion  Agua"
6;1;3;003;10;00;"Sub cuentas del Aux";"Gastos de Administracion  Plan de Telefono"
6;1;3;003;11;00;"Sub cuentas del Aux";"Gastos de Administracion  Combustibles y Lubricantes"
6;1;3;003;12;00;"Sub cuentas del Aux";"Gastos de Administracion  Reparacion de Mobiliario y equipo"
6;1;3;003;13;00;"Sub cuentas del Aux";"Gastos de Administracion  Consumo de Papeleria"
6;1;3;003;14;00;"Sub cuentas del Aux";"Gastos de Administracion  Mantenimiento de Moviliario y Equipo "
6;1;3;000;00;00;"Cuenta Mayor";"Gastos de Operaciones"
6;1;3;001;00;00;Auxiliar;"Gastos de Operaciones KM motos"
6;1;3;001;01;00;"Sub cuentas del Aux";"Gastos de Operaciones  Sueldos de Empleados"
6;1;3;001;02;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 13avo"
6;1;3;001;03;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 14avo"
6;1;3;001;04;00;"Sub cuentas del Aux";"Gastos de Operaciones  Seguro Social"
6;1;3;001;05;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Tercer"
6;1;3;001;06;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Cuarto"
6;1;3;001;07;00;"Sub cuentas del Aux";"Gastos de Operaciones  Alquiler del Local Oficinas"
6;1;3;001;08;00;"Sub cuentas del Aux";"Gastos de Operaciones  Energia electrica"
6;1;3;001;09;00;"Sub cuentas del Aux";"Gastos de Operaciones  Agua"
6;1;3;001;10;00;"Sub cuentas del Aux";"Gastos de Operaciones  Plan de Telefono"
6;1;3;001;11;00;"Sub cuentas del Aux";"Gastos de Operaciones  Combustibles y Lubricantes"
6;1;3;001;12;00;"Sub cuentas del Aux";"Gastos de Operaciones  Reparacion de Mobiliario y equipo"
6;1;3;001;13;00;"Sub cuentas del Aux";"Gastos de Operaciones  Consumo de Papeleria"
6;1;3;001;14;00;"Sub cuentas del Aux";"Gastos de Operaciones  Mantenimiento de Moviliario y Equipo "
6;1;3;002;00;00;Auxiliar;"Gastos de Operaciones MOTOREPUESTOS TODO EN UNO"
6;1;3;002;01;00;"Sub cuentas del Aux";"Gastos de Operaciones  Sueldos de Empleados"
6;1;3;002;02;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 13avo"
6;1;3;002;03;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 14avo"
6;1;3;002;04;00;"Sub cuentas del Aux";"Gastos de Operaciones  Seguro Social"
6;1;3;002;05;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Tercer"
6;1;3;002;06;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Cuarto"
6;1;3;002;07;00;"Sub cuentas del Aux";"Gastos de Operaciones  Alquiler del Local Oficinas"
6;1;3;002;08;00;"Sub cuentas del Aux";"Gastos de Operaciones  Energia electrica"
6;1;3;002;09;00;"Sub cuentas del Aux";"Gastos de Operaciones  Agua"
6;1;3;002;10;00;"Sub cuentas del Aux";"Gastos de Operaciones  Plan de Telefono"
6;1;3;002;11;00;"Sub cuentas del Aux";"Gastos de Operaciones  Combustibles y Lubricantes"
6;1;3;002;12;00;"Sub cuentas del Aux";"Gastos de Operaciones  Reparacion de Mobiliario y equipo"
6;1;3;002;13;00;"Sub cuentas del Aux";"Gastos de Operaciones  Consumo de Papeleria"
6;1;3;002;14;00;"Sub cuentas del Aux";"Gastos de Operaciones  Mantenimiento de Moviliario y Equipo "
6;1;3;003;00;00;Auxiliar;"Gastos de Operaciones KM CARS"
6;1;3;003;01;00;"Sub cuentas del Aux";"Gastos de Operaciones  Sueldos de Empleados"
6;1;3;003;02;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 13avo"
6;1;3;003;03;00;"Sub cuentas del Aux";"Gastos de Operaciones  Provisionamiento 14avo"
6;1;3;003;04;00;"Sub cuentas del Aux";"Gastos de Operaciones  Seguro Social"
6;1;3;003;05;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Tercer"
6;1;3;003;06;00;"Sub cuentas del Aux";"Gastos de Operaciones  Decimo Cuarto"
6;1;3;003;07;00;"Sub cuentas del Aux";"Gastos de Operaciones  Alquiler del Local Oficinas"
6;1;3;003;08;00;"Sub cuentas del Aux";"Gastos de Operaciones  Energia electrica"
6;1;3;003;09;00;"Sub cuentas del Aux";"Gastos de Operaciones  Agua"
6;1;3;003;10;00;"Sub cuentas del Aux";"Gastos de Operaciones  Plan de Telefono"
6;1;3;003;11;00;"Sub cuentas del Aux";"Gastos de Operaciones  Combustibles y Lubricantes"
6;1;3;003;12;00;"Sub cuentas del Aux";"Gastos de Operaciones  Reparacion de Mobiliario y equipo"
6;1;3;003;13;00;"Sub cuentas del Aux";"Gastos de Operaciones  Consumo de Papeleria"
6;1;3;003;14;00;"Sub cuentas del Aux";"Gastos de Operaciones  Mantenimiento de Moviliario y Equipo "
6;1;4;000;00;00;"Cuenta Mayor";"Gastos Personales"
6;1;4;001;00;00;Auxiliar;"Gastos Personales"
6;1;5;000;00;00;"Cuenta Mayor";"Gastos Financieros"
6;1;5;001;00;00;Auxiliar;"Intereses pagados ya devengados"
6;1;5;002;00;00;Auxiliar;"Comisiones Pagadas a los Bancos"
6;1;5;003;00;00;Auxiliar;"Descto por pronto pago Concedido a Clientes"
6;1;5;004;00;00;Auxiliar;"Tasa de Seguridad"
6;1;6;000;00;00;"Cuenta Mayor";"Productos Financieros"
6;1;6;001;00;00;Auxiliar;"Intereses Cobrados ya devengados"
6;1;6;002;00;00;Auxiliar;"Descto por pronto pago de prov. Y Acreedores"
6;1;7;000;00;00;"Cuenta Mayor";"Otros Gastos"
6;1;7;001;00;00;Auxiliar;Donaciones
6;1;7;002;00;00;Auxiliar;"Perdida en ventas de Activo Fijo"
6;1;7;003;00;00;Auxiliar;"Faltante de Caja chica"
6;1;7;004;00;00;Auxiliar;Faltante
6;1;8;000;00;00;"Cuenta Mayor";"Otros Productos"
6;1;8;001;00;00;Auxiliar;"Utilidad en ventas de Activo Fijo"
6;1;8;002;00;00;Auxiliar;"Sobrante de Caja chica"
6;1;8;003;00;00;Auxiliar;Sobrante
6;1;9;000;00;00;"Cuenta Mayor";"Impuesto Sobre la Renta a Pagar"
6;1;9;001;00;00;Auxiliar;"Impuesto Sobre la Renta a Pagar"
